project,category,test,correlation,p_value,n,significant
librosa,complexity,smell_density_mean_vs_complexity_delta,0.1046385094876611,0.4742825047706012,49,False
librosa,complexity,smell_density_mean_vs_complexity_growth_rate,0.38559959741260275,0.006215045113108586,49,True
librosa,complexity,smell_density_mean_vs_project_cyclomatic_complexity_last,-0.7954357930033482,5.17049199215867e-12,50,True
librosa,complexity,total_smells_found_sum_vs_complexity_delta,0.1829003886385287,0.20843013787184517,49,False
librosa,complexity,total_smells_found_sum_vs_complexity_growth_rate,0.40611104434713985,0.0037879436585918054,49,True
librosa,complexity,total_smells_found_sum_vs_project_cyclomatic_complexity_last,-0.7390414512125953,8.883690117285646e-10,50,True
librosa,complexity,smell_introduction_rate_vs_complexity_delta,0.1591612771488321,0.27467982085939413,49,False
librosa,complexity,smell_introduction_rate_vs_complexity_growth_rate,0.48155233060330144,0.00045992734689575204,49,True
librosa,complexity,smell_introduction_rate_vs_project_cyclomatic_complexity_last,-0.5984929691712899,4.418564487711729e-06,50,True
librosa,changes,smell_density_mean_vs_change_intensity,-0.15045113720842787,0.2969978120307771,50,False
librosa,changes,smell_density_mean_vs_files_changed_sum,0.4899700274591331,0.0003042537501131216,50,True
librosa,changes,smell_density_mean_vs_loc_churn,-0.019448464102491455,0.8933585290694146,50,False
librosa,changes,total_smells_found_sum_vs_change_intensity,-0.1972723025129312,0.16969592114191603,50,False
librosa,changes,total_smells_found_sum_vs_files_changed_sum,0.7262735831858765,2.3807651838252213e-09,50,True
librosa,changes,total_smells_found_sum_vs_loc_churn,0.04131492303253741,0.7757413040821916,50,False
librosa,changes,smell_introduction_rate_vs_change_intensity,-0.34835627527279384,0.013169767306389494,50,True
librosa,changes,smell_introduction_rate_vs_files_changed_sum,0.35790343247730816,0.010713753236636439,50,True
librosa,changes,smell_introduction_rate_vs_loc_churn,0.05782476223612989,0.6899852750927258,50,False
librosa,bugfixes,smell_density_mean_vs_bugfix_ratio,-0.6385983261957966,6.040831295921148e-07,50,True
librosa,bugfixes,smell_density_mean_vs_bugfix_commits,0.26684580750266895,0.06102886969751777,50,False
librosa,bugfixes,total_smells_found_sum_vs_bugfix_ratio,-0.7300142221733662,1.793834804371938e-09,50,True
librosa,bugfixes,total_smells_found_sum_vs_bugfix_commits,0.5504746585736457,3.4468961946759155e-05,50,True
librosa,bugfixes,smell_introduction_rate_vs_bugfix_ratio,-0.5934663633169102,5.564696229400818e-06,50,True
librosa,bugfixes,smell_introduction_rate_vs_bugfix_commits,0.16130534727748158,0.26309763681403847,50,False
gensim,complexity,smell_density_mean_vs_complexity_delta,0.14387657191081415,0.2812584260783587,58,False
gensim,complexity,smell_density_mean_vs_complexity_growth_rate,0.12121560085468487,0.3647225316646244,58,False
gensim,complexity,smell_density_mean_vs_project_cyclomatic_complexity_last,-0.22311919075107037,0.08938917764923701,59,False
gensim,complexity,total_smells_found_sum_vs_complexity_delta,0.26123503000237863,0.047620449157165144,58,True
gensim,complexity,total_smells_found_sum_vs_complexity_growth_rate,0.21373258030598002,0.10718375900244433,58,False
gensim,complexity,total_smells_found_sum_vs_project_cyclomatic_complexity_last,-0.05187375699229166,0.6963979074986544,59,False
gensim,complexity,smell_introduction_rate_vs_complexity_delta,,,58,False
gensim,complexity,smell_introduction_rate_vs_complexity_growth_rate,,,58,False
gensim,complexity,smell_introduction_rate_vs_project_cyclomatic_complexity_last,,,59,False
gensim,changes,smell_density_mean_vs_change_intensity,0.04151478852048396,0.7548938904654254,59,False
gensim,changes,smell_density_mean_vs_files_changed_sum,0.19471456691904473,0.13945705743491824,59,False
gensim,changes,smell_density_mean_vs_loc_churn,-0.08238096193873218,0.5350623318579858,59,False
gensim,changes,total_smells_found_sum_vs_change_intensity,0.237708651670919,0.06984871884459716,59,False
gensim,changes,total_smells_found_sum_vs_files_changed_sum,0.6646519374947366,9.440333856392652e-09,59,True
gensim,changes,total_smells_found_sum_vs_loc_churn,0.13521984077854313,0.3071977959498167,59,False
gensim,changes,smell_introduction_rate_vs_change_intensity,,,59,False
gensim,changes,smell_introduction_rate_vs_files_changed_sum,,,59,False
gensim,changes,smell_introduction_rate_vs_loc_churn,,,59,False
gensim,bugfixes,smell_density_mean_vs_bugfix_ratio,0.013898727538670195,0.9167892773757025,59,False
gensim,bugfixes,smell_density_mean_vs_bugfix_commits,0.13219064046549206,0.3182604947650018,59,False
gensim,bugfixes,total_smells_found_sum_vs_bugfix_ratio,0.2079710789010177,0.11396645417841592,59,False
gensim,bugfixes,total_smells_found_sum_vs_bugfix_commits,0.5115616780109116,3.460409156608276e-05,59,True
gensim,bugfixes,smell_introduction_rate_vs_bugfix_ratio,,,59,False
gensim,bugfixes,smell_introduction_rate_vs_bugfix_commits,,,59,False
scikit-learn,complexity,smell_density_mean_vs_complexity_delta,0.1893178212585933,0.14393827201962617,61,False
scikit-learn,complexity,smell_density_mean_vs_complexity_growth_rate,0.5384452670544685,7.6038694798501535e-06,61,True
scikit-learn,complexity,smell_density_mean_vs_project_cyclomatic_complexity_last,-0.873435572007756,2.0710249440946206e-20,62,True
scikit-learn,complexity,total_smells_found_sum_vs_complexity_delta,0.3621147820885218,0.004134471732283729,61,True
scikit-learn,complexity,total_smells_found_sum_vs_complexity_growth_rate,0.6151588466805009,1.3268545587479388e-07,61,True
scikit-learn,complexity,total_smells_found_sum_vs_project_cyclomatic_complexity_last,-0.5753893806880095,9.983307610467e-07,62,True
scikit-learn,complexity,smell_introduction_rate_vs_complexity_delta,-0.13091130238191104,0.3145918114898578,61,False
scikit-learn,complexity,smell_introduction_rate_vs_complexity_growth_rate,-0.07580745383335466,0.5614676413362317,61,False
scikit-learn,complexity,smell_introduction_rate_vs_project_cyclomatic_complexity_last,-0.11440299166115048,0.37594660134670366,62,False
scikit-learn,changes,smell_density_mean_vs_change_intensity,0.7155951751403894,6.316803723435329e-11,62,True
scikit-learn,changes,smell_density_mean_vs_files_changed_sum,0.7667493484698897,3.728659887376538e-13,62,True
scikit-learn,changes,smell_density_mean_vs_loc_churn,0.7438996751529803,4.285519057917174e-12,62,True
scikit-learn,changes,total_smells_found_sum_vs_change_intensity,0.7488447640386598,2.5830886435259066e-12,62,True
scikit-learn,changes,total_smells_found_sum_vs_files_changed_sum,0.9331906320825986,2.3627238969381997e-28,62,True
scikit-learn,changes,total_smells_found_sum_vs_loc_churn,0.5625212475735811,1.9515164021911447e-06,62,True
scikit-learn,changes,smell_introduction_rate_vs_change_intensity,-0.09753087974986478,0.450770722534105,62,False
scikit-learn,changes,smell_introduction_rate_vs_files_changed_sum,-0.13971291866028704,0.27879290442700794,62,False
scikit-learn,changes,smell_introduction_rate_vs_loc_churn,0.18350310372766968,0.15339127992022014,62,False
scikit-learn,bugfixes,smell_density_mean_vs_bugfix_ratio,0.012263604542821887,0.9246309056238657,62,False
scikit-learn,bugfixes,smell_density_mean_vs_bugfix_commits,0.5783469342586504,8.523246755895467e-07,62,True
scikit-learn,bugfixes,total_smells_found_sum_vs_bugfix_ratio,-0.07297817958045653,0.572965843165375,62,False
scikit-learn,bugfixes,total_smells_found_sum_vs_bugfix_commits,0.7497827881132852,2.3434723046604927e-12,62,True
scikit-learn,bugfixes,smell_introduction_rate_vs_bugfix_ratio,-0.157666108472477,0.22100084382820998,62,False
scikit-learn,bugfixes,smell_introduction_rate_vs_bugfix_commits,-0.1681924073093704,0.19130517175384054,62,False
pytorch-lightning,complexity,smell_density_mean_vs_complexity_delta,-0.42923076923076925,0.03226015868478607,25,True
pytorch-lightning,complexity,smell_density_mean_vs_complexity_growth_rate,0.18384615384615385,0.3790206919993311,25,False
pytorch-lightning,complexity,smell_density_mean_vs_project_cyclomatic_complexity_last,-0.481025641025641,0.012857018509186312,26,True
pytorch-lightning,complexity,total_smells_found_sum_vs_complexity_delta,0.08232352527740838,0.695642376330222,25,False
pytorch-lightning,complexity,total_smells_found_sum_vs_complexity_growth_rate,0.27966917232091537,0.17575029567104833,25,False
pytorch-lightning,complexity,total_smells_found_sum_vs_project_cyclomatic_complexity_last,0.009916225140654045,0.9616546328972538,26,False
pytorch-lightning,complexity,smell_introduction_rate_vs_complexity_delta,-0.12810156036157472,0.5417035789828879,25,False
pytorch-lightning,complexity,smell_introduction_rate_vs_complexity_growth_rate,0.12002308358201597,0.5676850914522273,25,False
pytorch-lightning,complexity,smell_introduction_rate_vs_project_cyclomatic_complexity_last,-0.1036074557799371,0.6144909838404002,26,False
pytorch-lightning,changes,smell_density_mean_vs_change_intensity,0.04752136752136752,0.8176837503952754,26,False
pytorch-lightning,changes,smell_density_mean_vs_files_changed_sum,-0.44820512820512814,0.021655526829023733,26,True
pytorch-lightning,changes,smell_density_mean_vs_loc_churn,-0.14940170940170938,0.46634449815034795,26,False
pytorch-lightning,changes,total_smells_found_sum_vs_change_intensity,-0.05094888089508458,0.8047744343604677,26,False
pytorch-lightning,changes,total_smells_found_sum_vs_files_changed_sum,0.5471020767257404,0.003822611000629726,26,True
pytorch-lightning,changes,total_smells_found_sum_vs_loc_churn,-0.04923918690531664,0.8112077851900712,26,False
pytorch-lightning,changes,smell_introduction_rate_vs_change_intensity,0.0013677551918143513,0.9947091130664424,26,False
pytorch-lightning,changes,smell_introduction_rate_vs_files_changed_sum,-0.17507266455223697,0.39231315186535043,26,False
pytorch-lightning,changes,smell_introduction_rate_vs_loc_churn,0.21713113670052828,0.28665799263413116,26,False
pytorch-lightning,bugfixes,smell_density_mean_vs_bugfix_ratio,-0.06666666666666665,0.7462587084883725,26,False
pytorch-lightning,bugfixes,smell_density_mean_vs_bugfix_commits,-0.3463247863247863,0.08306623085875982,26,False
pytorch-lightning,bugfixes,total_smells_found_sum_vs_bugfix_ratio,-0.18156950171335515,0.3746997669135278,26,False
pytorch-lightning,bugfixes,total_smells_found_sum_vs_bugfix_commits,0.4222944154726809,0.03162873348710794,26,True
pytorch-lightning,bugfixes,smell_introduction_rate_vs_bugfix_ratio,-0.2157633815087139,0.2897790959707396,26,False
pytorch-lightning,bugfixes,smell_introduction_rate_vs_bugfix_commits,-0.2263634842452751,0.26614832154827894,26,False
yolov5,complexity,smell_density_mean_vs_complexity_delta,-0.30075187969924805,0.19757966317255538,20,False
yolov5,complexity,smell_density_mean_vs_complexity_growth_rate,-0.35187969924812035,0.1281419520870412,20,False
yolov5,complexity,smell_density_mean_vs_project_cyclomatic_complexity_last,0.5696655058487184,0.007022755393355599,21,True
yolov5,complexity,total_smells_found_sum_vs_complexity_delta,0.5235051141181752,0.01784273465285618,20,True
yolov5,complexity,total_smells_found_sum_vs_complexity_growth_rate,0.48138401298223005,0.03163763691457064,20,True
yolov5,complexity,total_smells_found_sum_vs_project_cyclomatic_complexity_last,-0.11825860948667964,0.6096713583955566,21,False
yolov5,complexity,smell_introduction_rate_vs_complexity_delta,0.5249956724573309,0.017462213884045626,20,True
yolov5,complexity,smell_introduction_rate_vs_complexity_growth_rate,0.4871581465144602,0.029364877181624022,20,True
yolov5,complexity,smell_introduction_rate_vs_project_cyclomatic_complexity_last,-0.16429609527627698,0.47667805175333244,21,False
yolov5,changes,smell_density_mean_vs_change_intensity,0.7974025974025974,1.5001549621912602e-05,21,True
yolov5,changes,smell_density_mean_vs_files_changed_sum,-0.3775179484408177,0.09157147788369008,21,False
yolov5,changes,smell_density_mean_vs_loc_churn,0.4896103896103896,0.024270522021007414,21,True
yolov5,changes,total_smells_found_sum_vs_change_intensity,0.11302371495744243,0.6256966943103275,21,False
yolov5,changes,total_smells_found_sum_vs_files_changed_sum,0.5238869304938253,0.01478507698075334,21,True
yolov5,changes,total_smells_found_sum_vs_loc_churn,0.09678467545206276,0.6764246456173111,21,False
yolov5,changes,smell_introduction_rate_vs_change_intensity,0.17386365758424452,0.45101433075535713,21,False
yolov5,changes,smell_introduction_rate_vs_files_changed_sum,0.45419599996447924,0.03860744646459869,21,True
yolov5,changes,smell_introduction_rate_vs_loc_churn,0.18829502837186954,0.4137058323096434,21,False
yolov5,bugfixes,smell_density_mean_vs_bugfix_ratio,-0.10464743355316278,0.6516773956378645,21,False
yolov5,bugfixes,smell_density_mean_vs_bugfix_commits,-0.549057945666938,0.009943448776137901,21,True
yolov5,bugfixes,total_smells_found_sum_vs_bugfix_ratio,0.1196359160554908,0.60548310267568,21,False
yolov5,bugfixes,total_smells_found_sum_vs_bugfix_commits,0.6109847576478854,0.0032579028796845422,21,True
yolov5,bugfixes,smell_introduction_rate_vs_bugfix_ratio,-0.04539997907703466,0.8450723816642243,21,False
yolov5,bugfixes,smell_introduction_rate_vs_bugfix_commits,0.42840894470533025,0.05267098324742788,21,False
detectron2,complexity,smell_density_mean_vs_complexity_delta,0.5857724869181747,0.004176930860005868,22,True
detectron2,complexity,smell_density_mean_vs_complexity_growth_rate,0.5851102227302605,0.0042303487743507945,22,True
detectron2,complexity,smell_density_mean_vs_project_cyclomatic_complexity_last,-0.6899474719092773,0.00026958484904139574,23,True
detectron2,complexity,total_smells_found_sum_vs_complexity_delta,0.764326395284285,3.455216419281145e-05,22,True
detectron2,complexity,total_smells_found_sum_vs_complexity_growth_rate,0.7634622611523842,3.569987680685555e-05,22,True
detectron2,complexity,total_smells_found_sum_vs_project_cyclomatic_complexity_last,-0.823751117428891,1.367009688714308e-06,23,True
detectron2,complexity,smell_introduction_rate_vs_complexity_delta,0.7322906373393959,0.0001067567835890315,22,True
detectron2,complexity,smell_introduction_rate_vs_complexity_growth_rate,0.731462722278369,0.00010968556383576901,22,True
detectron2,complexity,smell_introduction_rate_vs_project_cyclomatic_complexity_last,-0.7669157664310156,1.964066339407483e-05,23,True
detectron2,changes,smell_density_mean_vs_change_intensity,0.2887688815266844,0.18144000589834083,23,False
detectron2,changes,smell_density_mean_vs_files_changed_sum,0.722141348530437,9.998565000621935e-05,23,True
detectron2,changes,smell_density_mean_vs_loc_churn,0.534090442575082,0.008662278601559244,23,True
detectron2,changes,total_smells_found_sum_vs_change_intensity,0.339577546598593,0.11290674789612953,23,False
detectron2,changes,total_smells_found_sum_vs_files_changed_sum,0.8659255647923482,9.410221376667233e-08,23,True
detectron2,changes,total_smells_found_sum_vs_loc_churn,0.6263606220055957,0.0013856678086863802,23,True
detectron2,changes,smell_introduction_rate_vs_change_intensity,0.2392435255596956,0.2715717257911945,23,False
detectron2,changes,smell_introduction_rate_vs_files_changed_sum,0.7587050440357336,2.7154804682168115e-05,23,True
detectron2,changes,smell_introduction_rate_vs_loc_churn,0.596042449913856,0.002687275082190122,23,True
detectron2,bugfixes,smell_density_mean_vs_bugfix_ratio,-0.3971553842386809,0.06058675024263915,23,False
detectron2,bugfixes,smell_density_mean_vs_bugfix_commits,0.6907248514374889,0.00026359074474524135,23,True
detectron2,bugfixes,total_smells_found_sum_vs_bugfix_ratio,-0.510266564738915,0.012857743334166895,23,True
detectron2,bugfixes,total_smells_found_sum_vs_bugfix_commits,0.8298490804415465,9.718472658419546e-07,23,True
detectron2,bugfixes,smell_introduction_rate_vs_bugfix_ratio,-0.3928658944314147,0.06367984432553794,23,False
detectron2,bugfixes,smell_introduction_rate_vs_bugfix_commits,0.7625087766501529,2.3407593919342087e-05,23,True
transformers,complexity,smell_density_mean_vs_complexity_delta,-0.4352136752136752,0.026275297193493776,26,True
transformers,complexity,smell_density_mean_vs_complexity_growth_rate,0.8023931623931623,8.201923366389123e-07,26,True
transformers,complexity,smell_density_mean_vs_project_cyclomatic_complexity_last,-0.8644688644688645,6.151996422460433e-09,27,True
transformers,complexity,total_smells_found_sum_vs_complexity_delta,-0.30735042735042734,0.12667317044596432,26,False
transformers,complexity,total_smells_found_sum_vs_complexity_growth_rate,0.17675213675213672,0.3877155926568773,26,False
transformers,complexity,total_smells_found_sum_vs_project_cyclomatic_complexity_last,-0.22466422466422467,0.2599001049430713,27,False
transformers,complexity,smell_introduction_rate_vs_complexity_delta,-0.21094017094017092,0.3009554236037242,26,False
transformers,complexity,smell_introduction_rate_vs_complexity_growth_rate,0.3846153846153845,0.052369535324279216,26,False
transformers,complexity,smell_introduction_rate_vs_project_cyclomatic_complexity_last,-0.5286935286935286,0.004580474338686212,27,True
transformers,changes,smell_density_mean_vs_change_intensity,-0.1978021978021978,0.32266681370880823,27,False
transformers,changes,smell_density_mean_vs_files_changed_sum,0.05372405372405373,0.7901306090134299,27,False
transformers,changes,smell_density_mean_vs_loc_churn,0.07326007326007326,0.7164956295371385,27,False
transformers,changes,total_smells_found_sum_vs_change_intensity,0.23870573870573872,0.2304933624673221,27,False
transformers,changes,total_smells_found_sum_vs_files_changed_sum,0.3571428571428571,0.06742904400568388,27,False
transformers,changes,total_smells_found_sum_vs_loc_churn,0.10927960927960927,0.5874094722042709,27,False
transformers,changes,smell_introduction_rate_vs_change_intensity,-0.15445665445665446,0.4417527030638726,27,False
transformers,changes,smell_introduction_rate_vs_files_changed_sum,0.026862026862026864,0.8941948368835395,27,False
transformers,changes,smell_introduction_rate_vs_loc_churn,0.1623931623931624,0.41835171898812185,27,False
transformers,bugfixes,smell_density_mean_vs_bugfix_ratio,-0.7722832722832721,2.3693855952535814e-06,27,True
transformers,bugfixes,smell_density_mean_vs_bugfix_commits,-0.2264957264957265,0.2559324355985912,27,False
transformers,bugfixes,total_smells_found_sum_vs_bugfix_ratio,-0.40415140415140416,0.0365458158654563,27,True
transformers,bugfixes,total_smells_found_sum_vs_bugfix_commits,-0.12393162393162394,0.5379752912344229,27,False
transformers,bugfixes,smell_introduction_rate_vs_bugfix_ratio,-0.3241758241758242,0.09901329918483762,27,False
transformers,bugfixes,smell_introduction_rate_vs_bugfix_commits,-0.11904761904761904,0.5542334831984879,27,False
