period,total_smells_found_sum,total_smells_found_mean,smell_density_mean,smells_introduced_sum,smells_removed_sum,project_cyclomatic_complexity_last,project_cyclomatic_complexity_mean,commit_cyclomatic_complexity_mean,files_changed_sum,files_changed_mean,LOC_added_sum,LOC_deleted_sum,is_bug_fix_sum,bug_fixing_sum,total_commits,complexity_delta,complexity_growth_rate,change_intensity,loc_churn,bugfix_commits,bugfix_ratio,smell_introduction_rate,smell_removal_rate,net_smell_change,period_num
2019Q4,14,0.10606060606060606,4.563224622864672e-06,4,0,3518.0,3325.1439393939395,111.0,507,3.840909090909091,44993,2261,101,53,132,,,3.840909090909091,357.9848484848485,154,1.1666666666666667,0.030303030303030304,0.0,4,0
2020Q1,26,0.16455696202531644,5.781666550715207e-06,5,1,4491.0,4179.202531645569,86.95569620253164,408,2.5822784810126582,11159,3051,75,52,158,973.0,0.27657760090960776,2.5822784810126582,89.9367088607595,127,0.8037974683544303,0.03164556962025317,0.006329113924050633,4,1
2020Q2,44,0.25142857142857145,7.839818565031313e-06,6,0,5104.0,4781.828571428571,108.88,584,3.337142857142857,15116,9053,68,42,175,613.0,0.13649521264751727,3.337142857142857,138.10857142857142,110,0.6285714285714286,0.03428571428571429,0.0,6,2
2020Q3,19,0.15833333333333333,4.450038241748057e-06,1,0,5713.0,5447.616666666667,94.80833333333334,351,2.925,11271,3951,63,23,120,609.0,0.11931818181818182,2.925,126.85,86,0.7166666666666667,0.008333333333333333,0.0,1,3
2020Q4,33,0.16666666666666666,4.0924827181958946e-06,2,1,6242.0,5924.69191919192,117.31818181818181,906,4.575757575757576,12783,6745,73,48,198,529.0,0.0925958340626641,4.575757575757576,98.62626262626263,121,0.6111111111111112,0.010101010101010102,0.005050505050505051,1,4
2021Q1,13,0.08496732026143791,1.8890164803684726e-06,1,2,6769.0,6478.254901960784,94.44444444444444,447,2.9215686274509802,9150,5914,65,41,153,527.0,0.08442806792694649,2.9215686274509802,98.45751633986929,106,0.6928104575163399,0.006535947712418301,0.013071895424836602,-1,5
2021Q2,6,0.06521739130434782,1.335888796270263e-06,0,0,7258.0,7043.913043478261,88.19565217391305,301,3.2717391304347827,7075,1467,35,17,92,489.0,0.07224109912837938,3.2717391304347827,92.84782608695652,52,0.5652173913043478,0.0,0.0,0,6
2021Q3,13,0.16883116883116883,3.271908475274245e-06,0,1,7464.0,7387.545454545455,76.06493506493507,170,2.207792207792208,2548,886,40,37,77,206.0,0.02838247451088454,2.207792207792208,44.5974025974026,77,1.0,0.0,0.012987012987012988,-1,7
2021Q4,6,0.12,2.2760367674262684e-06,0,0,7582.0,7542.64,94.24,153,3.06,2050,1042,28,18,50,118.0,0.015809217577706324,3.06,61.84,46,0.92,0.0,0.0,0,8
2022Q1,0,0.0,0.0,0,0,7708.0,7669.529411764706,99.17647058823529,60,3.5294117647058822,1897,200,14,7,17,126.0,0.016618306515431284,3.5294117647058822,123.3529411764706,21,1.2352941176470589,0.0,0.0,0,9
2022Q2,5,0.16129032258064516,2.957378759329009e-06,0,0,7961.0,7821.193548387097,159.48387096774192,184,5.935483870967742,4521,506,19,13,31,253.0,0.03282304099636741,5.935483870967742,162.16129032258064,32,1.032258064516129,0.0,0.0,0,10
2022Q3,0,0.0,0.0,0,0,8073.0,8041.529411764706,63.705882352941174,45,2.6470588235294117,896,110,15,12,17,112.0,0.014068584348699911,2.6470588235294117,59.1764705882353,27,1.588235294117647,0.0,0.0,0,11
2022Q4,4,0.2222222222222222,3.825220531397576e-06,0,0,8111.0,8090.888888888889,98.61111111111111,47,2.611111111111111,439,125,14,5,18,38.0,0.004707048185309055,2.611111111111111,31.333333333333332,19,1.0555555555555556,0.0,0.0,0,12
2023Q1,0,0.0,0.0,0,0,8185.0,8144.0,82.54545454545455,57,1.7272727272727273,740,313,28,14,33,74.0,0.00912341264948835,1.7272727272727273,31.90909090909091,42,1.2727272727272727,0.0,0.0,0,13
2023Q2,0,0.0,0.0,0,0,8229.0,8204.92857142857,78.21428571428571,47,1.6785714285714286,418,119,16,8,28,44.0,0.005375687232742822,1.6785714285714286,19.178571428571427,24,0.8571428571428571,0.0,0.0,0,14
2023Q3,0,0.0,0.0,0,0,8238.0,8235.0,195.0,47,4.2727272727272725,167,81,9,7,11,9.0,0.001093693036820999,4.2727272727272725,22.545454545454547,16,1.4545454545454546,0.0,0.0,0,15
2023Q4,0,0.0,0.0,0,0,8244.0,8240.333333333334,65.16666666666667,6,1.0,39,25,4,3,6,6.0,0.0007283321194464676,1.0,10.666666666666666,7,1.1666666666666667,0.0,0.0,0,16
2024Q1,0,0.0,0.0,0,0,8329.0,8309.8,329.7,149,14.9,797,189,6,4,10,85.0,0.010310528869480834,14.9,98.6,10,1.0,0.0,0.0,0,17
2024Q2,2,0.16666666666666666,2.8263437851526504e-06,0,0,8335.0,8331.166666666666,283.75,67,5.583333333333333,360,506,6,5,12,6.0,0.0007203745947892904,5.583333333333333,72.16666666666667,11,0.9166666666666666,0.0,0.0,0,18
2024Q3,0,0.0,0.0,0,0,8341.0,8338.4,58.6,6,1.2,53,2,2,2,5,6.0,0.0007198560287942411,1.2,11.0,4,0.8,0.0,0.0,0,19
2024Q4,2,0.2222222222222222,3.7653933988888327e-06,0,0,8341.0,8341.111111111111,69.77777777777777,14,1.5555555555555556,35,17,4,3,9,0.0,0.0,1.5555555555555556,5.777777777777778,7,0.7777777777777778,0.0,0.0,0,20
2025Q1,0,0.0,0.0,0,0,8341.0,8341.0,28.0,1,1.0,3,1,0,0,1,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0,21
2025Q2,0,0.0,0.0,0,0,8344.0,8342.0,75.33333333333333,6,2.0,50,37,3,3,3,3.0,0.00035966910442392997,2.0,29.0,6,2.0,0.0,0.0,0,22
